split,file_name,question,answer,receipt_currency,question_category,operations
dev,X51005433518,How many goods in the 2nd position can be purchased for 8?,7.0,Malaysian ringgit,count,division;sorting
dev,X51005433518,What is the position number of the lowest quantity of items?,1.0,Malaysian ringgit,count,sorting
dev,X51005433518,How many positions are with price larger than 7.1 in the receipt?,0.0,Malaysian ringgit,count,counting;sorting
dev,X51005433518,What is the payment made by cash?,8.2,Malaysian ringgit,amount,-
dev,X51005433518,What is net total and total amount ratio?,1.0,Malaysian ringgit,ratio,division
dev,X51005433518,What is the total amount?,8.2,Malaysian ringgit,amount,-
dev,X51005433556,How many positions were bought?,5.0,Malaysian ringgit,count,counting
dev,X51005433556,What is the maximum price of a position?,31.6,Malaysian ringgit,amount,sorting
dev,X51005433556,How many positions are free of charge?,1.0,Malaysian ringgit,count,counting
dev,X51005433556,How many goods in the 3rd position can be bought for 37?,2.0,Malaysian ringgit,count,division;sorting
dev,X51005433556,How many positions are with unit price larger than or equal to 3.8?,3.0,Malaysian ringgit,count,counting;division;sorting
dev,X51005433556,How many goods were sold in total?,6.0,Malaysian ringgit,count,summation
dev,X51005433556,How much should be paid for 3 items from the 1st position?,4.5,Malaysian ringgit,amount,multiplication;sorting
dev,X51005433556,What is the position number of the minimum quantity of items?,1.0,Malaysian ringgit,count,sorting
dev,X51005433556,What is the minimum unit price in the receipt?,0.0,Malaysian ringgit,amount,division;sorting
dev,X51005433556,What is the ratio of total excluding taxes to total?,0.943661971830986,Malaysian ringgit,ratio,division
dev,X51005433556,How much should be paid?,49.7,Malaysian ringgit,amount,-
dev,X51005442343,How many goods in the 1st position were purchased?,1.0,Malaysian ringgit,count,sorting
dev,X51005442343,How many goods in the 1st position can be purchased for 102?,1.0,Malaysian ringgit,count,division;sorting
dev,X51005442343,How many positions are in the receipt?,1.0,Malaysian ringgit,count,counting
dev,X51005442343,How much should be paid for 3 products from the 1st position?,216.0,Malaysian ringgit,amount,multiplication;sorting
dev,X51005442343,How much cash was received?,102.0,Malaysian ringgit,amount,-
dev,X51005442343,How much is tax to total amount ratio?,0.0566666666666666,Malaysian ringgit,ratio,division
dev,X51005442343,What share of the cash was returned as the change?,0.2941176470588235,Malaysian ringgit,ratio,division
dev,X51005442343,How much is the change?,30.0,Malaysian ringgit,amount,-
dev,X51005442343,What is the total amount?,72.0,Malaysian ringgit,amount,-
dev,X51005442382,How many goods in the 1st position can be bought for 1?,0.0,Malaysian ringgit,count,division;sorting
dev,X51005442382,What is the quantity of items in the 1st position?,1.0,Malaysian ringgit,count,sorting
dev,X51005442382,How many goods were sold in total?,1.0,Malaysian ringgit,count,summation
dev,X51005442382,How many positions does the receipt contain?,1.0,Malaysian ringgit,count,counting
dev,X51005442382,What would be the price of the 1st position if the quantity in that position were to change to 2?,13.2,Malaysian ringgit,amount,division;multiplication;sorting
dev,X51005442382,How much was paid by cash?,6.6,Malaysian ringgit,amount,-
dev,X51005442382,What is the total amount?,6.6,Malaysian ringgit,amount,-
dev,X51005442382,What is net total and total amount ratio?,1.0,Malaysian ringgit,ratio,division
dev,X51005444041,How many positions are with unit price lower than or equal to 7.9?,3.0,Malaysian ringgit,count,counting;division;sorting
dev,X51005444041,How many goods in the 3rd position can be bought for 289?,32.0,Malaysian ringgit,count,division;sorting
dev,X51005444041,How much should be paid for 2 products from the 2nd position?,39.8,Malaysian ringgit,amount,multiplication;sorting
dev,X51005444041,What is the quantity of products in the 5th position?,1.0,Malaysian ringgit,count,sorting
dev,X51005444041,Which position has the smallest amount?,2.0,Malaysian ringgit,count,sorting
dev,X51005444041,What is the sum of prices in the first 2 positions?,43.6,Malaysian ringgit,amount,sorting;summation
dev,X51005444041,How many positions are free of charge?,0.0,Malaysian ringgit,count,counting
dev,X51005444041,What is the mean price of a position?,16.2,Malaysian ringgit,amount,counting;division;summation
dev,X51005444041,How many goods were sold in total?,9.0,Malaysian ringgit,count,summation
dev,X51005444041,How much should be paid?,81.0,Malaysian ringgit,amount,-
dev,X51005444041,How much cash was received?,81.0,Malaysian ringgit,amount,-
dev,X51005447841,What is the price of the 2nd position in thousands?,0.0019,Malaysian ringgit,amount,division;sorting
dev,X51005447841,How many positions does the receipt contain?,4.0,Malaysian ringgit,count,counting
dev,X51005447841,How many positions are free of cost?,0.0,Malaysian ringgit,count,counting
dev,X51005447841,What would be the price of the 3rd position if the quantity in that position were to change to 2?,5.4,Malaysian ringgit,amount,division;multiplication;sorting
dev,X51005447841,Which position is the largest by quantity?,1.0,Malaysian ringgit,count,sorting
dev,X51005447841,What is the maximum price in the first 2 positions?,1.9,Malaysian ringgit,amount,counting;sorting
dev,X51005447841,What is the mean price of a position?,2.6,Malaysian ringgit,amount,counting;division;summation
dev,X51005447841,What is the total quantity of goods sold?,4.0,Malaysian ringgit,count,summation
dev,X51005447841,How many goods in the 3rd position can be purchased for 19?,7.0,Malaysian ringgit,count,division;sorting
dev,X51005447841,How many positions are with price larger than or equal to 2.7 in the receipt?,2.0,Malaysian ringgit,count,counting;sorting
dev,X51005447841,What is the ratio of change to cash?,0.0095238095238095,Malaysian ringgit,ratio,division
dev,X51005447841,How much is the change?,0.1,Malaysian ringgit,amount,-
dev,X51005447841,What is the total amount?,10.4,Malaysian ringgit,amount,-
dev,X51005447841,How much was paid by cash?,10.5,Malaysian ringgit,amount,-
dev,X51005447842,What is the price of the 1st position in thousands?,0.0009,Malaysian ringgit,amount,division;sorting
dev,X51005447842,How many positions does the receipt contain?,1.0,Malaysian ringgit,count,counting
dev,X51005447842,What is the total quantity of goods sold?,1.0,Malaysian ringgit,count,summation
dev,X51005447842,How many goods in the 1st position were purchased?,1.0,Malaysian ringgit,count,sorting
dev,X51005447842,How many goods in the 1st position can be purchased for 2?,2.0,Malaysian ringgit,count,division;sorting
dev,X51005447842,Which part of cash was given back as change?,0.82,Malaysian ringgit,ratio,division
dev,X51005447842,What is the quantity of the change?,4.1,Malaysian ringgit,amount,-
dev,X51005447842,How much cash was received?,5.0,Malaysian ringgit,amount,-
dev,X51005447842,How much should be paid?,0.9,Malaysian ringgit,amount,-
dev,X51005568855,How many positions does the receipt contain?,12.0,Malaysian ringgit,count,counting
dev,X51005568855,What is the total price of the first 5 positions?,46.03000000000001,Malaysian ringgit,amount,sorting;summation
dev,X51005568855,What is the maximum price of a position?,37.0,Malaysian ringgit,amount,sorting
dev,X51005568855,What would be the price of the 1st position if the quantity in that position were to change to 4?,17.16,Malaysian ringgit,amount,division;multiplication;sorting
dev,X51005568855,What is the price of the 11th position in thousands?,0.037,Malaysian ringgit,amount,division;sorting
dev,X51005568855,How many goods were sold in total?,12.0,Malaysian ringgit,count,summation
dev,X51005568855,What is the quantity of items in the 8th position?,1.0,Malaysian ringgit,count,sorting
dev,X51005568855,What is the maximum unit price?,37.0,Malaysian ringgit,amount,division;sorting
dev,X51005568855,What is the payment made by card?,140.65,Malaysian ringgit,amount,-
dev,X51005568855,What is the total amount paid?,140.65,Malaysian ringgit,amount,-
dev,X51005568887,How many positions were bought?,1.0,Malaysian ringgit,count,counting
dev,X51005568887,How many goods in the 1st position can be purchased for 16?,2.0,Malaysian ringgit,count,division;sorting
dev,X51005568887,What is the price of the 1st position in thousands?,0.0072,Malaysian ringgit,amount,division;sorting
dev,X51005568887,How much should be paid for 1.0 of the product in the 1st position?,6.0,Malaysian ringgit,amount,multiplication;sorting
dev,X51005568887,What is the payment made by cash?,7.2,Malaysian ringgit,amount,-
dev,X51005568887,What is the total amount paid?,7.2,Malaysian ringgit,amount,-
dev,X51005568889,How many goods in the 1st position can be bought for 54?,9.0,Malaysian ringgit,count,division;sorting
dev,X51005568889,How many positions does the receipt contain?,1.0,Malaysian ringgit,count,counting
dev,X51005568889,How much was purchased in the 1st position?,3.38,Malaysian ringgit,amount,sorting
dev,X51005568889,How much should be paid?,19.6,Malaysian ringgit,amount,-
dev,X51005568889,How much was paid by cash?,19.6,Malaysian ringgit,amount,-
dev,X51005568895,What is the price of the 1st position in thousands?,0.0045,Malaysian ringgit,amount,division;sorting
dev,X51005568895,What is the highest price in the first 2 positions?,15.0,Malaysian ringgit,amount,counting;sorting
dev,X51005568895,How many goods were sold in total?,4.0,Malaysian ringgit,count,summation
dev,X51005568895,How many positions are free of charge?,0.0,Malaysian ringgit,count,counting
dev,X51005568895,What is the minimum price of a position?,4.5,Malaysian ringgit,amount,sorting
dev,X51005568895,How many positions does the receipt contain?,3.0,Malaysian ringgit,count,counting
dev,X51005568895,How many goods in the 1st position can be purchased for 15?,3.0,Malaysian ringgit,count,division;sorting
dev,X51005568895,What is the maximum unit price in the receipt?,15.0,Malaysian ringgit,amount,division;sorting
dev,X51005568895,Which position has the highest amount?,3.0,Malaysian ringgit,count,sorting
dev,X51005568895,How many positions are with unit price larger than 15.0?,0.0,Malaysian ringgit,count,counting;division;sorting
dev,X51005568895,How much is tax to total amount ratio?,0.0566,Malaysian ringgit,ratio,division
dev,X51005568895,What is the total amount paid?,52.45,Malaysian ringgit,amount,-
dev,X51005582745,How much should be paid for 4 products from the 1st position?,566.04,Malaysian ringgit,amount,multiplication;sorting
dev,X51005582745,What is the quantity of items in the 1st position?,1.0,Malaysian ringgit,count,sorting
dev,X51005582745,What is the price of the 1st position in thousands?,0.1415,Malaysian ringgit,amount,division;sorting
dev,X51005582745,How many goods in the 1st position can be purchased for 75?,0.0,Malaysian ringgit,count,division;sorting
dev,X51005582745,What is the total quantity of goods sold?,1.0,Malaysian ringgit,count,summation
dev,X51005582745,How much should be paid?,150.0,Malaysian ringgit,amount,-
dev,X51005582745,What is the payment made by cash?,150.0,Malaysian ringgit,amount,-
dev,X51005582745,How much is tax to total amount ratio?,0.0566,Malaysian ringgit,ratio,division
dev,X51005587261,What is the price of the 1st position in thousands?,0.03,Malaysian ringgit,amount,division;sorting
dev,X51005587261,How many positions does the receipt contain?,1.0,Malaysian ringgit,count,counting
dev,X51005587261,How much should be paid for 13.4 of the product in the 1st position?,34.84,Malaysian ringgit,amount,multiplication;sorting
dev,X51005587261,How many goods in the 1st position can be purchased for 4?,1.0,Malaysian ringgit,count,division;sorting
dev,X51005587261,What is the payment made by cash?,30.0,Malaysian ringgit,amount,-
dev,X51005587261,What is the total amount paid?,30.0,Malaysian ringgit,amount,-
dev,X51005605287,How many goods in the 1st position can be bought for 8?,1.0,Malaysian ringgit,count,division;sorting
dev,X51005605287,Which position has the lowest amount?,1.0,Malaysian ringgit,count,sorting
dev,X51005605287,How many positions are with unit price larger than or equal to 6.65?,1.0,Malaysian ringgit,count,counting;division;sorting
dev,X51005605287,What is the maximum price of a position?,6.65,Malaysian ringgit,amount,sorting
dev,X51005605287,How many positions are free of charge?,0.0,Malaysian ringgit,count,counting
dev,X51005605287,What is the total quantity of goods sold?,2.0,Malaysian ringgit,count,summation
dev,X51005605287,How many positions were bought?,2.0,Malaysian ringgit,count,counting
dev,X51005605287,What is the quantity of items in the 2nd position?,1.0,Malaysian ringgit,count,sorting
dev,X51005605287,How much should be paid for 2 products from the 2nd position?,11.2,Malaysian ringgit,amount,multiplication;sorting
dev,X51005605287,Which part of cash was given back as change?,0.755,Malaysian ringgit,ratio,division
dev,X51005605287,What is the total amount paid?,12.25,Malaysian ringgit,amount,-
dev,X51005605287,What is the quantity of the change?,37.75,Malaysian ringgit,amount,-
dev,X51005605287,How much was paid by cash?,50.0,Malaysian ringgit,amount,-
dev,X51005605295,What is the maximum unit price?,4.2,Malaysian ringgit,amount,division;sorting
dev,X51005605295,How many positions do contain zero price?,0.0,Malaysian ringgit,count,counting
dev,X51005605295,How many goods were sold in total?,2.0,Malaysian ringgit,count,summation
dev,X51005605295,How many positions are with unit price larger than 0.95?,1.0,Malaysian ringgit,count,counting;division;sorting
dev,X51005605295,Which position has the smallest amount?,1.0,Malaysian ringgit,count,sorting
dev,X51005605295,What is the quantity of products in the 1st position?,1.0,Malaysian ringgit,count,sorting
dev,X51005605295,What is the maximum price in the first 2 positions?,4.2,Malaysian ringgit,amount,counting;sorting
dev,X51005605295,How much should be paid for 3 products from the 1st position?,12.6,Malaysian ringgit,amount,multiplication;sorting
dev,X51005605295,What is the quantity of the change?,0.05,Malaysian ringgit,amount,-
dev,X51005605295,How much was paid by cash?,5.2,Malaysian ringgit,amount,-
dev,X51005605295,What share of the cash was returned as the change?,0.0096153846153846,Malaysian ringgit,ratio,division
dev,X51005605295,What is the total amount paid?,5.15,Malaysian ringgit,amount,-
dev,X51005621482,How many goods in the 1st position can be bought for 40?,2.0,Malaysian ringgit,count,division;sorting
dev,X51005621482,How many goods are in the 1st position?,1.0,Malaysian ringgit,count,sorting
dev,X51005621482,How many positions were bought?,1.0,Malaysian ringgit,count,counting
dev,X51005621482,What is the quantity of the change?,6.6,Malaysian ringgit,amount,-
dev,X51005621482,What is the total amount paid?,13.4,Malaysian ringgit,amount,-
dev,X51005621482,Which part of cash was given back as change?,0.3299999999999999,Malaysian ringgit,ratio,division
dev,X51005621482,What is the payment made by cash?,20.0,Malaysian ringgit,amount,-
dev,X51005675099,What would be the price of the 1st position if the quantity in that position were to change to 4?,220.0,Malaysian ringgit,amount,division;multiplication;sorting
dev,X51005675099,How many goods in the 1st position can be purchased for 303?,5.0,Malaysian ringgit,count,division;sorting
dev,X51005675099,How many zero prices are among the menu?,0.0,Malaysian ringgit,count,counting
dev,X51005675099,How many positions does the receipt contain?,6.0,Malaysian ringgit,count,counting
dev,X51005675099,How many goods are in the 4th position?,1.0,Malaysian ringgit,count,sorting
dev,X51005675099,What is the sum of prices in the first 2 positions?,73.0,Malaysian ringgit,amount,sorting;summation
dev,X51005675099,How many positions are with price lower than or equal to 55.0 in the receipt?,6.0,Malaysian ringgit,count,counting;sorting
dev,X51005675099,What is the price of the 4th position in thousands?,0.013,Malaysian ringgit,amount,division;sorting
dev,X51005675099,How much is the greatest unit price?,55.0,Malaysian ringgit,amount,division;sorting
dev,X51005675099,How much was paid by cash?,132.5,Malaysian ringgit,amount,-
dev,X51005675099,What is the total amount paid?,132.5,Malaysian ringgit,amount,-
dev,X51005675103,How many goods are in the 3rd position?,1.0,Malaysian ringgit,count,sorting
dev,X51005675103,What is the total quantity of goods sold?,4.0,Malaysian ringgit,count,summation
dev,X51005675103,What is the minimum price in the first 3 positions?,6.89,Malaysian ringgit,amount,counting;sorting
dev,X51005675103,How many goods in the 3rd position can be purchased for 92?,13.0,Malaysian ringgit,count,division;sorting
dev,X51005675103,How many zero prices are among the menu?,0.0,Malaysian ringgit,count,counting
dev,X51005675103,What is the price of the 2nd position in thousands?,0.053,Malaysian ringgit,amount,division;sorting
dev,X51005675103,How many positions are with unit price lower than or equal to 40.28?,3.0,Malaysian ringgit,count,counting;division;sorting
dev,X51005675103,What is the maximum price of a position?,53.0,Malaysian ringgit,amount,sorting
dev,X51005675103,What is the total number of positions?,3.0,Malaysian ringgit,count,counting
dev,X51005675103,How much is tax to total amount ratio?,0.0566037735849056,Malaysian ringgit,ratio,division
dev,X51005675103,How much should be paid?,100.17,Malaysian ringgit,amount,-
dev,X51005675103,How much was paid by cash?,100.17,Malaysian ringgit,amount,-
dev,X51005676534,How much is the highest unit price?,23.32,Malaysian ringgit,amount,division;sorting
dev,X51005676534,What is the maximum price of a position?,38.16,Malaysian ringgit,amount,sorting
dev,X51005676534,Which position is the minimum by quantity?,1.0,Malaysian ringgit,count,sorting
dev,X51005676534,How many zero prices are among the menu?,0.0,Malaysian ringgit,count,counting
dev,X51005676534,What is the price of the 1st position in thousands?,0.0106,Malaysian ringgit,amount,division;sorting
dev,X51005676534,How many goods were sold in total?,4.0,Malaysian ringgit,count,summation
dev,X51005676534,What is the quantity of products in the 2nd position?,1.0,Malaysian ringgit,count,sorting
dev,X51005676534,How much was paid by cash?,72.08,Malaysian ringgit,amount,-
dev,X51005676534,How much should be paid?,72.08,Malaysian ringgit,amount,-
dev,X51005676534,How much is tax to total amount ratio?,0.0566037735849056,Malaysian ringgit,ratio,division
dev,X51005676548,What is the least unit price?,1.06,Malaysian ringgit,amount,division;sorting
dev,X51005676548,What is the lowest price in the first 2 positions?,3.18,Malaysian ringgit,amount,counting;sorting
dev,X51005676548,How many positions are with price larger than or equal to 1.06 in the receipt?,2.0,Malaysian ringgit,count,counting;sorting
dev,X51005676548,What is the price of the 2nd position in thousands?,0.008,Malaysian ringgit,amount,division;sorting
dev,X51005676548,How much should be paid for 3 products from the 2nd position?,23.85,Malaysian ringgit,amount,multiplication;sorting
dev,X51005676548,How many goods are in the 1st position?,3.0,Malaysian ringgit,count,sorting
dev,X51005676548,How many goods in the 2nd position can be purchased for 49?,6.0,Malaysian ringgit,count,division;sorting
dev,X51005676548,What is the total number of positions?,2.0,Malaysian ringgit,count,counting
dev,X51005676548,How many positions are free of charge?,0.0,Malaysian ringgit,count,counting
dev,X51005676548,What is the total amount?,11.13,Malaysian ringgit,amount,-
dev,X51005676548,What is the payment made by cash?,11.13,Malaysian ringgit,amount,-
dev,X51005676548,How much is tax to total amount ratio?,0.0566037735849056,Malaysian ringgit,ratio,division
dev,X51005677327,What is the quantity of products in the 1st position?,2.0,Malaysian ringgit,count,sorting
dev,X51005677327,How many goods were sold in total?,2.0,Malaysian ringgit,count,summation
dev,X51005677327,How many positions does the receipt contain?,1.0,Malaysian ringgit,count,counting
dev,X51005677327,What is the price of the 1st position in thousands?,0.036,Malaysian ringgit,amount,division;sorting
dev,X51005677327,What is the payment made by cash?,36.04,Malaysian ringgit,amount,-
dev,X51005677327,How much should be paid?,36.04,Malaysian ringgit,amount,-
dev,X51005677327,How much is tax to total amount ratio?,0.0566037735849056,Malaysian ringgit,ratio,division
dev,X51005711402,What is the price of the 2nd position in thousands?,0.0044,Malaysian ringgit,amount,division;sorting
dev,X51005711402,Which position is the minimum by quantity?,1.0,Malaysian ringgit,count,sorting
dev,X51005711402,What is the quantity of products in the 1st position?,1.0,Malaysian ringgit,count,sorting
dev,X51005711402,How many positions are free of charge?,0.0,Malaysian ringgit,count,counting
dev,X51005711402,What is the minimum price in the first 3 positions?,2.2,Malaysian ringgit,amount,counting;sorting
dev,X51005711402,What is the highest unit price?,2.2,Malaysian ringgit,amount,division;sorting
dev,X51005711402,How many goods were sold in total?,8.0,Malaysian ringgit,count,summation
dev,X51005711402,How much cash was received?,9.6,Malaysian ringgit,amount,-
dev,X51005711402,What is the ratio of total excluding taxes to total?,0.9447916666666668,Malaysian ringgit,ratio,division
dev,X51005711402,What is the total amount paid?,9.6,Malaysian ringgit,amount,-
dev,X51005711443,How many positions are with price larger than or equal to 2.2 in the receipt?,2.0,Malaysian ringgit,count,counting;sorting
dev,X51005711443,How many positions are in the receipt?,4.0,Malaysian ringgit,count,counting
dev,X51005711443,What would be the price of the 3rd position if the quantity in that position were to change to 2?,3.4,Malaysian ringgit,amount,division;multiplication;sorting
dev,X51005711443,What is the average price in the first 4 positions?,1.675,Malaysian ringgit,amount,counting;division;sorting;summation
dev,X51005711443,Which position has the lowest amount?,1.0,Malaysian ringgit,count,sorting
dev,X51005711443,What is the quantity of products in the 2nd position?,1.0,Malaysian ringgit,count,sorting
dev,X51005711443,How many positions are free of cost?,0.0,Malaysian ringgit,count,counting
dev,X51005711443,What is the price of the 3rd position in thousands?,0.0017,Malaysian ringgit,amount,division;sorting
dev,X51005711443,How much is the lowest unit price?,0.2,Malaysian ringgit,amount,division;sorting
dev,X51005711443,How many goods in the 1st position can be purchased for 51?,23.0,Malaysian ringgit,count,division;sorting
dev,X51005711443,What is net total and total amount ratio?,0.9447761194029852,Malaysian ringgit,ratio,division
dev,X51005711443,What is the payment made by cash?,6.7,Malaysian ringgit,amount,-
dev,X51005711443,How much should be paid?,6.7,Malaysian ringgit,amount,-
dev,X51005719855,What is the price of the 2nd position in thousands?,0.003,Malaysian ringgit,amount,division;sorting
dev,X51005719855,What is the least unit price in the receipt?,3.0,Malaysian ringgit,amount,division;sorting
dev,X51005719855,How much should be paid for 2 products from the 1st position?,6.0,Malaysian ringgit,amount,multiplication;sorting
dev,X51005719855,How many positions are free of cost?,0.0,Malaysian ringgit,count,counting
dev,X51005719855,How many goods in the 1st position can be purchased for 50?,16.0,Malaysian ringgit,count,division;sorting
dev,X51005719855,Which position has the maximum amount?,3.0,Malaysian ringgit,count,sorting
dev,X51005719855,What is the sum of prices in the first 3 positions?,155.7,Malaysian ringgit,amount,sorting;summation
dev,X51005719855,How many positions were bought?,3.0,Malaysian ringgit,count,counting
dev,X51005719855,What is the quantity of products in the 2nd position?,1.0,Malaysian ringgit,count,sorting
dev,X51005719855,How many goods were sold in total?,5.0,Malaysian ringgit,count,summation
dev,X51005719855,What is the quantity of the change?,20.0,Malaysian ringgit,amount,-
dev,X51005719855,What is the payment made by cash?,201.55,Malaysian ringgit,amount,-
dev,X51005719855,What is the ratio of change to cash?,0.0992309600595385,Malaysian ringgit,ratio,division
dev,X51005719855,What is the total amount?,181.55,Malaysian ringgit,amount,-
dev,X51005719903,What is the maximum price of a position?,4.5,Malaysian ringgit,amount,sorting
dev,X51005719903,What is the price of the 2nd position in thousands?,0.0045,Malaysian ringgit,amount,division;sorting
dev,X51005719903,What is the quantity of items in the 2nd position?,1.0,Malaysian ringgit,count,sorting
dev,X51005719903,Which position has the smallest amount?,2.0,Malaysian ringgit,count,sorting
dev,X51005719903,How much should be paid for 2 items from the 2nd position?,9.0,Malaysian ringgit,amount,multiplication;sorting
dev,X51005719903,What is the maximum price in the first 2 positions?,4.5,Malaysian ringgit,amount,counting;sorting
dev,X51005719903,How many positions are free of charge?,0.0,Malaysian ringgit,count,counting
dev,X51005719903,How many positions are in the receipt?,2.0,Malaysian ringgit,count,counting
dev,X51005719903,How many goods were sold in total?,3.0,Malaysian ringgit,count,summation
dev,X51005719903,How much was paid by cash?,10.0,Malaysian ringgit,amount,-
dev,X51005719903,What is the quantity of the change?,1.5,Malaysian ringgit,amount,-
dev,X51005719903,What share of the cash was returned as the change?,0.15,Malaysian ringgit,ratio,division
dev,X51005719903,What is the total amount?,8.5,Malaysian ringgit,amount,-
dev,X51005719905,What is the lowest price of a position?,2.0,Malaysian ringgit,amount,sorting
dev,X51005719905,What is the lowest price in the first 3 positions?,2.0,Malaysian ringgit,amount,counting;sorting
dev,X51005719905,What is the least unit price in the receipt?,2.0,Malaysian ringgit,amount,division;sorting
dev,X51005719905,What is the quantity of items in the 3rd position?,1.0,Malaysian ringgit,count,sorting
dev,X51005719905,What would be the price of the 3rd position if the quantity in that position were to change to 3?,6.0,Malaysian ringgit,amount,division;multiplication;sorting
dev,X51005719905,How many positions does the receipt contain?,3.0,Malaysian ringgit,count,counting
dev,X51005719905,How many positions are with price lower than or equal to 3.1 in the receipt?,3.0,Malaysian ringgit,count,counting;sorting
dev,X51005719905,What is the price of the 2nd position in thousands?,0.0031,Malaysian ringgit,amount,division;sorting
dev,X51005719905,How much cash was received?,8.2,Malaysian ringgit,amount,-
dev,X51005719905,How much should be paid?,8.2,Malaysian ringgit,amount,-
dev,X51005719905,How much is tax to total amount ratio?,0.0560975609756097,Malaysian ringgit,ratio,division
dev,X51005724623,How many zero prices are among the menu?,0.0,Malaysian ringgit,count,counting
dev,X51005724623,How many goods in the 1st position can be purchased for 406?,24.0,Malaysian ringgit,count,division;sorting
dev,X51005724623,What is the total quantity of goods sold?,12.0,Malaysian ringgit,count,summation
dev,X51005724623,What would be the price of the 2nd position if the quantity in that position were to change to 4?,260.0,Malaysian ringgit,amount,division;multiplication;sorting
dev,X51005724623,What is the price of the 2nd position in thousands?,0.1378,Malaysian ringgit,amount,division;sorting
dev,X51005724623,What is the quantity of items in the 1st position?,10.0,Malaysian ringgit,count,sorting
dev,X51005724623,What is the maximum price of a position?,165.0,Malaysian ringgit,amount,sorting
dev,X51005724623,How many positions were bought?,2.0,Malaysian ringgit,count,counting
dev,X51005724623,What is the average price in the first 2 positions?,147.5,Malaysian ringgit,amount,counting;division;sorting;summation
dev,X51005724623,What is the lowest unit price in the receipt?,16.5,Malaysian ringgit,amount,division;sorting
dev,X51005724623,How many positions are with unit price lower than or equal to 65.0?,2.0,Malaysian ringgit,count,counting;division;sorting
dev,X51005724623,How much is tax to total amount ratio?,0.0566037735849056,Malaysian ringgit,ratio,division
dev,X51005724623,What share of the cash was returned as the change?,0.1065714285714285,Malaysian ringgit,ratio,division
dev,X51005724623,How much was paid by cash?,350.0,Malaysian ringgit,amount,-
dev,X51005724623,What is the total amount paid?,312.7,Malaysian ringgit,amount,-
dev,X51005724623,How much is the change?,37.3,Malaysian ringgit,amount,-
dev,X51005724625,How many goods in the 2nd position can be purchased for 470?,6.0,Malaysian ringgit,count,division;sorting
dev,X51005724625,How many positions are free of cost?,0.0,Malaysian ringgit,count,counting
dev,X51005724625,What is the average price in the first 3 positions?,89.1667,Malaysian ringgit,amount,counting;division;sorting;summation
dev,X51005724625,What is the price of the 3rd position in thousands?,0.0825,Malaysian ringgit,amount,division;sorting
dev,X51005724625,What is the highest price of a position?,120.0,Malaysian ringgit,amount,sorting
